# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.458 0.540 -1 0 1
1 6 exp1 0.471 0.529 3 4 1
1 6 exp1 0.596 0.404 -3 1 4
1 6 exp1 0.514 0.485 -1 1 2
1 6 exp1 0.557 0.443 -4 3 7
1 3 exp1 0.366 0.631 -3 1 4
1 3 exp1 0.422 0.578 -3 2 5
1 3 exp1 0.442 0.558 -2 0 2
1 3 exp1 0.449 0.551 -2 2 4
1 3 exp1 0.423 0.577 -4 1 5
1 2 exp1 0.324 0.674 -8 1 9
1 2 exp1 0.256 0.744 -21 0 21
1 2 exp1 0.389 0.611 -10 0 10
1 2 exp1 0.453 0.547 -6 0 6
1 2 exp1 0.257 0.743 -12 0 12
1 4 exp1 0.542 0.455 1 2 1
1 4 exp1 0.507 0.493 -1 2 3
1 4 exp1 0.534 0.466 -3 0 3
1 4 exp1 0.449 0.551 -1 2 3
1 4 exp1 0.470 0.530 -2 1 3
