# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.571 0.428 -1 1 2
1 6 exp1 0.515 0.484 -1 2 3
1 6 exp1 0.507 0.493 -1 1 2
1 6 exp1 0.491 0.509 1 1 0
1 6 exp1 0.510 0.490 -1 3 4
1 3 exp1 0.326 0.674 -2 1 3
1 3 exp1 0.437 0.563 -2 1 3
1 3 exp1 0.344 0.656 -3 0 3
1 3 exp1 0.381 0.619 -1 0 1
1 3 exp1 0.336 0.664 -2 0 2
1 2 exp1 0.211 0.789 -2 0 2
1 2 exp1 0.270 0.730 -5 1 6
1 2 exp1 0.291 0.709 -3 0 3
1 2 exp1 0.305 0.695 -2 1 3
1 2 exp1 0.268 0.732 -4 0 4
1 4 exp1 0.454 0.546 1 3 2
1 4 exp1 0.535 0.465 -1 0 1
1 4 exp1 0.443 0.557 1 2 1
1 4 exp1 0.480 0.520 -2 0 2
1 4 exp1 0.485 0.515 1 4 3
