# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.501 0.497 1 2 1
1 6 exp1 0.570 0.430 2 2 0
1 6 exp1 0.503 0.497 1 4 3
1 6 exp1 0.484 0.516 4 4 0
1 6 exp1 0.495 0.504 2 2 0
1 3 exp1 0.318 0.679 -4 0 4
1 3 exp1 0.391 0.609 -3 2 5
1 3 exp1 0.297 0.702 -4 0 4
1 3 exp1 0.295 0.705 -4 1 5
1 3 exp1 0.317 0.682 -6 0 6
1 2 exp1 0.256 0.741 -8 0 8
1 2 exp1 0.328 0.671 -2 0 2
1 2 exp1 0.233 0.767 -4 1 5
1 2 exp1 0.248 0.751 -5 0 5
1 2 exp1 0.269 0.731 -3 0 3
1 4 exp1 0.517 0.481 -1 1 2
1 4 exp1 0.518 0.482 1 1 0
1 4 exp1 0.444 0.556 -3 0 3
1 4 exp1 0.514 0.486 -1 2 3
1 4 exp1 0.440 0.560 -7 0 7
