# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 control 0.509 0.489 -1 2 3
1 6 control 0.502 0.498 -2 1 3
1 6 control 0.499 0.501 -1 0 1
1 6 control 0.463 0.537 -1 2 3
1 6 control 0.464 0.536 1 3 2
1 6 control 0.449 0.551 -5 1 6
1 6 control 0.511 0.489 -2 2 4
1 6 control 0.482 0.518 -1 1 2
1 6 control 0.448 0.552 -1 3 4
1 6 control 0.461 0.539 -3 2 5
1 3 control 0.346 0.650 -3 2 5
1 3 control 0.474 0.526 -1 2 3
1 3 control 0.453 0.547 -6 0 6
1 3 control 0.397 0.603 -5 1 6
1 3 control 0.388 0.612 -4 1 5
1 3 control 0.438 0.562 -4 2 6
1 3 control 0.439 0.561 -8 0 8
1 3 control 0.454 0.545 -3 0 3
1 3 control 0.417 0.583 -4 0 4
1 3 control 0.395 0.605 -3 0 3
1 2 control 0.374 0.626 -7 0 7
1 2 control 0.371 0.629 -5 0 5
1 2 control 0.293 0.707 -11 0 11
1 2 control 0.348 0.652 -8 0 8
1 2 control 0.311 0.689 -10 0 10
1 2 control 0.311 0.688 -5 0 5
1 2 control 0.373 0.627 -4 0 4
1 2 control 0.357 0.643 -7 0 7
1 2 control 0.293 0.707 -11 0 11
1 2 control 0.301 0.699 -11 0 11
1 4 control 0.525 0.472 1 2 1
1 4 control 0.457 0.543 -3 1 4
1 4 control 0.504 0.496 -2 1 3
1 4 control 0.444 0.556 -1 1 2
1 4 control 0.488 0.512 -3 1 4
1 4 control 0.495 0.505 -3 0 3
1 4 control 0.500 0.500 -5 1 6
1 4 control 0.579 0.421 1 1 0
1 4 control 0.555 0.445 1 1 0
1 4 control 0.443 0.557 -5 2 7
1 5 control 0.460 0.540 -1 2 3
1 5 control 0.455 0.545 -11 0 11
1 5 control 0.446 0.554 -2 1 3
1 5 control 0.462 0.538 -1 1 2
1 5 control 0.437 0.563 -3 1 4
1 5 control 0.444 0.556 -3 0 3
1 5 control 0.435 0.565 -7 1 8
1 5 control 0.460 0.540 -4 1 5
1 5 control 0.484 0.516 -2 3 5
1 5 control 0.501 0.499 -3 1 4
