# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 control 0.526 0.472 -4 2 6
1 6 control 0.561 0.439 -2 5 7
1 6 control 0.518 0.482 -2 0 2
1 6 control 0.476 0.524 1 3 2
1 6 control 0.559 0.441 -1 1 2
1 3 control 0.349 0.648 -6 1 7
1 3 control 0.395 0.605 -3 1 4
1 3 control 0.429 0.571 -3 2 5
1 3 control 0.481 0.519 -1 1 2
1 3 control 0.402 0.598 -4 1 5
1 2 control 0.317 0.680 -11 0 11
1 2 control 0.404 0.596 -13 0 13
1 2 control 0.362 0.638 -8 0 8
1 2 control 0.356 0.644 -8 0 8
1 2 control 0.400 0.599 -3 0 3
1 4 control 0.462 0.535 -4 3 7
1 4 control 0.492 0.508 -4 0 4
1 4 control 0.479 0.520 1 3 2
1 4 control 0.535 0.465 -1 0 1
1 4 control 0.513 0.487 3 3 0
