# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.380 0.618 -3 2 5
1 6 exp1 0.443 0.557 -5 3 8
1 6 exp1 0.443 0.557 -2 0 2
1 6 exp1 0.392 0.608 -3 0 3
1 6 exp1 0.522 0.477 -2 0 2
1 3 exp1 0.363 0.635 -6 0 6
1 3 exp1 0.351 0.649 -1 0 1
1 3 exp1 0.326 0.674 -4 0 4
1 3 exp1 0.388 0.612 -3 1 4
1 3 exp1 0.295 0.705 -3 0 3
1 2 exp1 0.355 0.643 -2 0 2
1 2 exp1 0.271 0.729 -3 0 3
1 2 exp1 0.241 0.759 -3 0 3
1 2 exp1 0.262 0.738 -2 0 2
1 2 exp1 0.212 0.788 -3 0 3
1 4 exp1 0.476 0.521 -1 1 2
1 4 exp1 0.409 0.591 -2 0 2
1 4 exp1 0.478 0.521 -6 1 7
1 4 exp1 0.419 0.581 -2 0 2
1 4 exp1 0.411 0.589 -2 0 2
