# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.439 0.560 1 3 2
1 6 exp1 0.451 0.549 4 5 1
1 6 exp1 0.462 0.537 1 3 2
1 6 exp1 0.469 0.531 -1 1 2
1 6 exp1 0.522 0.477 2 3 1
1 3 exp1 0.329 0.669 -1 1 2
1 3 exp1 0.283 0.717 -3 0 3
1 3 exp1 0.348 0.652 -2 0 2
1 3 exp1 0.407 0.593 1 2 1
1 3 exp1 0.396 0.604 -2 1 3
1 2 exp1 0.265 0.733 -6 0 6
1 2 exp1 0.289 0.710 -2 0 2
1 2 exp1 0.190 0.809 -4 0 4
1 2 exp1 0.250 0.750 -7 0 7
1 2 exp1 0.299 0.701 -3 0 3
1 4 exp1 0.454 0.545 1 1 0
1 4 exp1 0.468 0.532 -1 1 2
1 4 exp1 0.531 0.469 -3 1 4
1 4 exp1 0.493 0.507 -1 2 3
1 4 exp1 0.439 0.560 2 2 0
