# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.446 0.551 -1 1 2
1 6 exp1 0.515 0.485 -3 3 6
1 6 exp1 0.468 0.532 -2 2 4
1 6 exp1 0.398 0.602 -1 2 3
1 6 exp1 0.331 0.668 -2 3 5
1 3 exp1 0.343 0.655 -2 0 2
1 3 exp1 0.399 0.601 -2 2 4
1 3 exp1 0.321 0.679 -6 0 6
1 3 exp1 0.392 0.608 -3 0 3
1 3 exp1 0.309 0.691 -1 0 1
1 2 exp1 0.298 0.701 -1 0 1
1 2 exp1 0.186 0.814 -6 0 6
1 2 exp1 0.301 0.699 -3 0 3
1 2 exp1 0.334 0.666 -2 0 2
1 2 exp1 0.301 0.699 -3 0 3
1 4 exp1 0.454 0.543 -1 1 2
1 4 exp1 0.498 0.502 -3 2 5
1 4 exp1 0.407 0.593 -1 2 3
1 4 exp1 0.497 0.503 -1 1 2
1 4 exp1 0.485 0.515 -2 1 3
