# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.502 0.498 -2 1 3
1 6 exp1 0.456 0.544 1 2 1
1 6 exp1 0.742 0.258 -1 0 1
1 6 exp1 0.519 0.481 3 4 1
1 6 exp1 0.404 0.596 -2 2 4
1 6 exp1 0.437 0.563 1 4 3
1 6 exp1 0.462 0.538 2 2 0
1 6 exp1 0.514 0.485 1 1 0
1 6 exp1 0.464 0.536 -2 1 3
1 6 exp1 0.475 0.524 4 4 0
1 3 exp1 0.294 0.706 -4 0 4
1 3 exp1 0.329 0.671 -3 0 3
1 3 exp1 0.328 0.672 -2 0 2
1 3 exp1 0.418 0.582 -4 1 5
1 3 exp1 0.333 0.667 -2 2 4
1 3 exp1 0.414 0.586 -1 1 2
1 3 exp1 0.324 0.676 -1 1 2
1 3 exp1 0.386 0.614 -2 0 2
1 3 exp1 0.329 0.671 -3 0 3
1 3 exp1 0.382 0.618 -4 0 4
1 2 exp1 0.352 0.648 -4 0 4
1 2 exp1 0.325 0.675 -3 1 4
1 2 exp1 0.277 0.723 -7 0 7
1 2 exp1 0.213 0.787 -3 0 3
1 2 exp1 0.333 0.666 -5 0 5
1 2 exp1 0.264 0.736 -3 0 3
1 2 exp1 0.292 0.708 -2 0 2
1 2 exp1 0.264 0.736 -4 0 4
1 2 exp1 0.419 0.581 -7 0 7
1 2 exp1 0.269 0.731 -4 0 4
1 4 exp1 0.516 0.484 1 4 3
1 4 exp1 0.507 0.493 -3 2 5
1 4 exp1 0.502 0.498 -3 1 4
1 4 exp1 0.463 0.537 -1 1 2
1 4 exp1 0.484 0.516 2 4 2
1 4 exp1 0.465 0.535 -2 1 3
1 4 exp1 0.476 0.524 -6 1 7
1 4 exp1 0.516 0.484 -3 1 4
1 4 exp1 0.482 0.518 -2 2 4
1 4 exp1 0.461 0.539 -2 0 2
1 5 exp1 0.481 0.519 -6 1 7
1 5 exp1 0.478 0.521 -4 2 6
1 5 exp1 0.494 0.505 -8 0 8
1 5 exp1 0.456 0.543 -7 0 7
1 5 exp1 0.556 0.444 -2 2 4
1 5 exp1 0.509 0.491 -2 1 3
1 5 exp1 0.495 0.505 -4 0 4
1 5 exp1 0.543 0.457 -4 1 5
1 5 exp1 0.481 0.519 -3 1 4
1 5 exp1 0.541 0.459 -2 0 2
