OurTeam,OppTeam,Type,OurPos,OppPos,GoalDiff,OurGoals,OppGoals 
jemv,we,exp1,0.423,0.577,-5,0,5
jemv,we,exp1,0.511,0.489,-3,0,3
jemv,we,exp1,0.483,0.517,-6,0,6
jemv,we,exp1,0.522,0.477,-4,0,4
jemv,we,exp1,0.475,0.525,-2,1,3
jemv,we,exp1,0.393,0.607,-5,1,6
jemv,we,exp1,0.467,0.533,-4,0,4
jemv,we,exp1,0.521,0.479,-1,3,4
jemv,we,exp1,0.427,0.573,-5,1,6
jemv,we,exp1,0.486,0.514,-6,0,6
jemv,we,exp1,0.539,0.461,-1,0,1
jemv,we,exp1,0.423,0.577,-2,1,3
jemv,we,exp1,0.518,0.482,-4,0,4
jemv,we,exp1,0.451,0.549,-5,0,5
jemv,we,exp1,0.473,0.527,-7,0,7
jemv,we,exp1,0.447,0.553,-9,1,10
jemv,we,exp1,0.512,0.488,-3,1,4
jemv,we,exp1,0.476,0.524,-5,0,5
jemv,we,exp1,0.480,0.520,-9,0,9
jemv,we,exp1,0.452,0.548,-1,2,3
jemv,we,exp1,0.581,0.419,-2,1,3
jemv,we,exp1,0.491,0.509,-8,0,8
jemv,we,exp1,0.609,0.390,-2,0,2
jemv,we,exp1,0.486,0.514,-6,1,7
jemv,we,exp1,0.385,0.615,-9,0,9
jemv,we,exp1,0.460,0.540,-7,0,7
jemv,we,exp1,0.490,0.510,-7,0,7
jemv,we,exp1,0.529,0.471,-4,1,5
jemv,we,exp1,0.448,0.552,-9,0,9
jemv,we,exp1,0.518,0.482,-5,0,5
jemv,we,exp1,0.528,0.472,-4,0,4
jemv,we,exp1,0.482,0.518,-2,0,2
jemv,we,exp1,0.439,0.561,-7,0,7
jemv,we,exp1,0.465,0.534,-1,1,2
jemv,we,exp1,0.477,0.523,-2,2,4
jemv,we,exp1,0.450,0.550,-3,2,5
jemv,we,exp1,0.434,0.566,-2,0,2
jemv,we,exp1,0.508,0.492,-3,1,4
jemv,we,exp1,0.554,0.446,-2,0,2
jemv,we,exp1,0.464,0.536,-3,1,4
jemv,we,exp1,0.532,0.468,-5,0,5
jemv,we,exp1,0.467,0.533,-4,0,4
jemv,we,exp1,0.394,0.606,-8,0,8
jemv,we,exp1,0.440,0.560,-6,0,6
jemv,we,exp1,0.464,0.536,-5,1,6
jemv,we,exp1,0.494,0.506,-6,0,6
jemv,we,exp1,0.540,0.460,-3,0,3
jemv,we,exp1,0.526,0.474,-2,1,3
jemv,we,exp1,0.463,0.537,-6,0,6
jemv,we,exp1,0.404,0.596,-10,0,10
