# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.532 0.466 -11 0 11
1 6 exp1 0.530 0.470 -6 2 8
1 6 exp1 0.494 0.506 -6 2 8
1 6 exp1 0.572 0.428 -11 2 13
1 6 exp1 0.545 0.455 -8 1 9
1 3 exp1 0.463 0.535 -7 0 7
1 3 exp1 0.464 0.536 -9 0 9
1 3 exp1 0.367 0.632 -11 0 11
1 3 exp1 0.383 0.616 -12 0 12
1 3 exp1 0.320 0.680 -14 0 14
1 2 exp1 0.362 0.636 -16 0 16
1 2 exp1 0.254 0.746 -26 0 26
1 2 exp1 0.380 0.620 -21 0 21
1 2 exp1 0.315 0.685 -23 0 23
1 2 exp1 0.293 0.707 -23 0 23
1 4 exp1 0.410 0.588 -19 1 20
1 4 exp1 0.433 0.567 -18 1 19
1 4 exp1 0.444 0.556 -17 1 18
1 4 exp1 0.408 0.592 -15 0 15
1 4 exp1 0.466 0.534 -13 0 13
