# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.618 0.380 -15 0 15
1 6 exp1 0.539 0.461 -10 1 11
1 6 exp1 0.538 0.462 -6 3 9
1 6 exp1 0.550 0.450 -9 2 11
1 6 exp1 0.560 0.440 -10 4 14
1 3 exp1 0.411 0.587 -11 0 11
1 3 exp1 0.405 0.595 -8 0 8
1 3 exp1 0.446 0.553 -10 0 10
1 3 exp1 0.381 0.619 -15 0 15
1 3 exp1 0.406 0.594 -9 1 10
1 2 exp1 0.309 0.689 -22 0 22
1 2 exp1 0.305 0.695 -22 0 22
1 2 exp1 0.263 0.736 -27 0 27
1 2 exp1 0.261 0.739 -23 0 23
1 2 exp1 0.215 0.785 -33 0 33
1 4 exp1 0.415 0.584 -16 0 16
1 4 exp1 0.410 0.589 -19 0 19
1 4 exp1 0.472 0.528 -14 0 14
1 4 exp1 0.464 0.535 -14 1 15
1 4 exp1 0.424 0.576 -17 1 18
