# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.621 0.377 -2 3 5
1 6 exp1 0.504 0.496 1 3 2
1 6 exp1 0.489 0.511 -2 1 3
1 6 exp1 0.481 0.519 -12 4 16
1 6 exp1 0.514 0.486 -2 1 3
1 3 exp1 0.381 0.616 -3 2 5
1 3 exp1 0.451 0.548 -7 1 8
1 3 exp1 0.436 0.564 -4 0 4
1 3 exp1 0.376 0.624 -1 0 1
1 3 exp1 0.415 0.585 -5 0 5
1 2 exp1 0.337 0.661 -11 0 11
1 2 exp1 0.326 0.673 -7 0 7
1 2 exp1 0.339 0.661 -11 0 11
1 2 exp1 0.317 0.683 -5 0 5
1 2 exp1 0.325 0.675 -10 0 10
1 4 exp1 0.491 0.507 0 1 1
1 4 exp1 0.480 0.520 -2 2 4
1 4 exp1 0.461 0.539 -4 1 5
1 4 exp1 0.510 0.490 -1 1 2
1 4 exp1 0.476 0.524 -1 2 3
