# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.545 0.454 -2 2 4
1 6 exp1 0.542 0.457 1 1 0
1 6 exp1 0.556 0.444 -2 1 3
1 6 exp1 0.575 0.425 -2 1 3
1 6 exp1 0.557 0.443 -1 0 1
1 3 exp1 0.312 0.688 -2 0 2
1 3 exp1 0.368 0.631 -2 1 3
1 3 exp1 0.357 0.643 -3 0 3
1 3 exp1 0.397 0.603 -1 1 2
1 3 exp1 0.313 0.687 -4 0 4
1 2 exp1 0.224 0.775 -5 0 5
1 2 exp1 0.283 0.717 -2 0 2
1 2 exp1 0.297 0.703 -6 0 6
1 2 exp1 0.366 0.634 -6 0 6
1 2 exp1 0.219 0.781 -5 0 5
1 4 exp1 0.555 0.444 3 4 1
1 4 exp1 0.477 0.523 -3 0 3
1 4 exp1 0.458 0.542 -1 0 1
1 4 exp1 0.526 0.474 -1 1 2
1 4 exp1 0.509 0.491 -2 2 4
