# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.579 0.421 2 2 0
1 6 exp1 0.528 0.472 -2 1 3
1 6 exp1 0.505 0.495 -1 0 1
1 6 exp1 0.572 0.427 5 5 0
1 6 exp1 0.502 0.498 2 3 1
1 3 exp1 0.339 0.661 -2 0 2
1 3 exp1 0.287 0.713 -2 0 2
1 3 exp1 0.258 0.742 -2 0 2
1 3 exp1 0.365 0.635 1 2 1
1 3 exp1 0.367 0.632 -2 0 2
1 2 exp1 0.324 0.675 -3 0 3
1 2 exp1 0.223 0.777 -4 0 4
1 2 exp1 0.234 0.766 -5 0 5
1 2 exp1 0.268 0.732 -3 0 3
1 2 exp1 0.394 0.605 -2 0 2
1 4 exp1 0.480 0.520 -2 0 2
1 4 exp1 0.474 0.526 -1 0 1
1 4 exp1 0.454 0.546 1 2 1
1 4 exp1 0.517 0.483 2 3 1
1 4 exp1 0.510 0.490 -2 0 2
