# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.443 0.556 -2 0 2
1 6 exp1 0.463 0.537 1 1 0
1 6 exp1 0.519 0.481 2 3 1
1 6 exp1 0.396 0.604 -1 2 3
1 6 exp1 0.479 0.521 3 3 0
1 3 exp1 0.431 0.568 -1 2 3
1 3 exp1 0.334 0.665 -1 1 2
1 3 exp1 0.293 0.706 -2 0 2
1 3 exp1 0.398 0.602 -3 0 3
1 3 exp1 0.318 0.682 -1 1 2
1 2 exp1 0.223 0.774 -4 0 4
1 2 exp1 0.228 0.772 -4 0 4
1 2 exp1 0.209 0.791 -6 0 6
1 2 exp1 0.246 0.754 -3 0 3
1 2 exp1 0.269 0.730 -5 0 5
1 4 exp1 0.527 0.471 1 1 0
1 4 exp1 0.506 0.494 -1 3 4
1 4 exp1 0.451 0.549 -1 1 2
1 4 exp1 0.555 0.445 1 1 0
1 4 exp1 0.492 0.508 -2 3 5
