# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.440 0.556 -2 0 2
1 6 exp1 0.456 0.544 -2 2 4
1 6 exp1 0.447 0.552 -5 2 7
1 6 exp1 0.416 0.584 -4 0 4
1 6 exp1 0.508 0.492 -3 1 4
1 3 exp1 0.413 0.583 -6 0 6
1 3 exp1 0.339 0.660 -5 0 5
1 3 exp1 0.415 0.585 -3 1 4
1 3 exp1 0.353 0.647 -5 0 5
1 3 exp1 0.417 0.583 -1 2 3
1 2 exp1 0.355 0.642 -5 0 5
1 2 exp1 0.271 0.729 -3 0 3
1 2 exp1 0.319 0.681 -7 0 7
1 2 exp1 0.286 0.714 -8 0 8
1 2 exp1 0.284 0.716 -5 0 5
1 4 exp1 0.456 0.541 -1 0 1
1 4 exp1 0.518 0.482 -3 0 3
1 4 exp1 0.489 0.511 -1 3 4
1 4 exp1 0.472 0.528 -2 0 2
1 4 exp1 0.498 0.501 -5 0 5
