# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.541 0.457 -6 1 7
1 6 exp1 0.571 0.429 -5 1 6
1 6 exp1 0.523 0.477 -2 2 4
1 6 exp1 0.426 0.574 -1 3 4
1 6 exp1 0.465 0.535 -2 3 5
1 3 exp1 0.376 0.621 -4 1 5
1 3 exp1 0.395 0.605 -5 1 6
1 3 exp1 0.445 0.554 -8 2 10
1 3 exp1 0.475 0.525 -3 2 5
1 3 exp1 0.392 0.608 -6 0 6
1 2 exp1 0.277 0.720 -12 0 12
1 2 exp1 0.312 0.688 -9 0 9
1 2 exp1 0.267 0.733 -7 0 7
1 2 exp1 0.287 0.713 -11 0 11
1 2 exp1 0.388 0.612 -9 1 10
1 4 exp1 0.490 0.508 -4 2 6
1 4 exp1 0.476 0.524 -8 0 8
1 4 exp1 0.432 0.568 -5 1 6
1 4 exp1 0.549 0.451 -4 0 4
1 4 exp1 0.435 0.565 -9 2 11
