# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.542 0.457 -11 1 12
1 6 exp1 0.535 0.465 -10 0 10
1 6 exp1 0.495 0.504 -4 2 6
1 6 exp1 0.552 0.448 -8 0 8
1 6 exp1 0.591 0.409 -9 3 12
1 3 exp1 0.407 0.591 -11 0 11
1 3 exp1 0.414 0.586 -9 0 9
1 3 exp1 0.455 0.545 -8 1 9
1 3 exp1 0.419 0.581 -13 1 14
1 3 exp1 0.345 0.655 -15 0 15
1 2 exp1 0.274 0.724 -27 0 27
1 2 exp1 0.252 0.747 -24 0 24
1 2 exp1 0.266 0.733 -23 0 23
1 2 exp1 0.338 0.662 -20 0 20
1 2 exp1 0.292 0.708 -29 0 29
1 4 exp1 0.427 0.572 -18 0 18
1 4 exp1 0.458 0.541 -13 1 14
1 4 exp1 0.436 0.564 -15 1 16
1 4 exp1 0.432 0.568 -17 1 18
1 4 exp1 0.482 0.518 -17 1 18
