# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals
1 6 exp1 0.525 0.473 -6 2 8
1 6 exp1 0.547 0.453 -7 1 8
1 6 exp1 0.434 0.566 -3 3 6
1 6 exp1 0.499 0.501 -12 1 13
1 6 exp1 0.549 0.451 -12 2 14
1 3 exp1 0.463 0.536 -7 0 7
1 3 exp1 0.447 0.552 -5 0 5
1 3 exp1 0.381 0.619 -14 0 14
1 3 exp1 0.406 0.593 -11 0 11
1 3 exp1 0.453 0.547 -9 0 9
1 2 exp1 0.304 0.695 -21 0 21
1 2 exp1 0.325 0.675 -20 0 20
1 2 exp1 0.323 0.676 -21 0 21
1 2 exp1 0.239 0.761 -24 0 24
1 2 exp1 0.310 0.690 -23 0 23
1 4 exp1 0.470 0.529 -14 0 14
1 4 exp1 0.388 0.612 -18 1 19
1 4 exp1 0.448 0.551 -11 5 16
1 4 exp1 0.485 0.515 -13 0 13
1 4 exp1 0.514 0.486 -15 0 15
