# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.498 0.501 -3 2 5
1 6 exp1 0.466 0.534 -6 0 6
1 6 exp1 0.524 0.476 -6 1 7
1 6 exp1 0.534 0.465 -11 3 14
1 6 exp1 0.469 0.531 -7 1 8
1 3 exp1 0.430 0.567 -7 1 8
1 3 exp1 0.435 0.565 -10 1 11
1 3 exp1 0.447 0.552 -12 0 12
1 3 exp1 0.486 0.514 -7 1 8
1 3 exp1 0.411 0.589 -5 1 6
1 2 exp1 0.278 0.720 -17 0 17
1 2 exp1 0.363 0.637 -12 0 12
1 2 exp1 0.314 0.686 -14 0 14
1 2 exp1 0.299 0.701 -16 0 16
1 2 exp1 0.335 0.665 -15 0 15
1 4 exp1 0.511 0.488 -15 2 17
1 4 exp1 0.504 0.496 -10 1 11
1 4 exp1 0.511 0.489 -11 4 15
1 4 exp1 0.421 0.579 -13 1 14
1 4 exp1 0.472 0.528 -10 2 12
