OurTeam,OppTeam,Type,OurPos,OppPos,GoalDiff,OurGoals,OppGoals 
jemv,helios,exp2,0.307,0.690,-12,0,12
jemv,helios,exp2,0.355,0.645,-13,0,13
jemv,helios,exp2,0.275,0.725,-17,0,17
jemv,helios,exp2,0.322,0.677,-12,0,12
jemv,helios,exp2,0.355,0.645,-9,0,9
jemv,helios,exp2,0.332,0.668,-11,0,11
jemv,helios,exp2,0.236,0.764,-9,0,9
jemv,helios,exp2,0.325,0.675,-8,0,8
jemv,helios,exp2,0.248,0.752,-12,0,12
jemv,helios,exp2,0.335,0.665,-12,0,12
jemv,helios,exp2,0.345,0.655,-15,0,15
jemv,helios,exp2,0.294,0.706,-7,0,7
jemv,helios,exp2,0.288,0.712,-8,0,8
jemv,helios,exp2,0.291,0.709,-10,0,10
jemv,helios,exp2,0.350,0.650,-10,0,10
jemv,helios,exp2,0.350,0.649,-9,0,9
jemv,helios,exp2,0.330,0.670,-10,0,10
jemv,helios,exp2,0.366,0.634,-9,1,10
jemv,helios,exp2,0.315,0.684,-8,0,8
jemv,helios,exp2,0.353,0.647,-7,0,7
jemv,helios,exp2,0.327,0.673,-14,0,14
jemv,helios,exp2,0.334,0.665,-13,0,13
jemv,helios,exp2,0.297,0.702,-10,0,10
jemv,helios,exp2,0.323,0.677,-8,0,8
jemv,helios,exp2,0.302,0.698,-13,0,13
jemv,helios,exp2,0.373,0.627,-7,0,7
jemv,helios,exp2,0.348,0.652,-9,0,9
jemv,helios,exp2,0.298,0.702,-10,0,10
jemv,helios,exp2,0.317,0.683,-14,0,14
jemv,helios,exp2,0.319,0.681,-14,0,14
jemv,helios,exp2,0.381,0.619,-7,0,7
jemv,helios,exp2,0.347,0.653,-8,0,8
jemv,helios,exp2,0.320,0.679,-10,0,10
jemv,helios,exp2,0.352,0.648,-12,0,12
jemv,helios,exp2,0.282,0.718,-13,0,13
jemv,helios,exp2,0.273,0.727,-14,0,14
jemv,helios,exp2,0.282,0.717,-14,0,14
jemv,helios,exp2,0.417,0.583,-8,0,8
jemv,helios,exp2,0.306,0.694,-14,0,14
jemv,helios,exp2,0.243,0.757,-18,0,18
jemv,helios,exp2,0.297,0.702,-11,0,11
jemv,helios,exp2,0.269,0.731,-11,0,11
jemv,helios,exp2,0.269,0.731,-14,0,14
jemv,helios,exp2,0.375,0.624,-7,0,7
jemv,helios,exp2,0.273,0.726,-11,0,11
jemv,helios,exp2,0.365,0.635,-9,0,9
jemv,helios,exp2,0.266,0.734,-7,0,7
jemv,helios,exp2,0.390,0.609,-13,0,13
jemv,helios,exp2,0.279,0.721,-12,0,12
jemv,helios,exp2,0.286,0.713,-10,0,10
jemv,genius,exp2,0.525,0.472,-7,0,7
jemv,genius,exp2,0.514,0.486,-2,1,3
jemv,genius,exp2,0.414,0.586,-5,0,5
jemv,genius,exp2,0.449,0.551,-3,0,3
jemv,genius,exp2,0.519,0.481,-5,0,5
jemv,genius,exp2,0.483,0.517,-5,0,5
