# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.432 0.567 -1 1 2
1 6 exp1 0.430 0.569 1 1 0
1 6 exp1 0.427 0.573 -2 1 3
1 6 exp1 0.483 0.517 2 3 1
1 6 exp1 0.397 0.603 -2 1 3
1 3 exp1 0.403 0.596 -3 0 3
1 3 exp1 0.344 0.656 -2 2 4
1 3 exp1 0.368 0.632 -1 1 2
1 3 exp1 0.417 0.583 -1 1 2
1 3 exp1 0.363 0.636 -2 1 3
1 2 exp1 0.282 0.716 -2 0 2
1 2 exp1 0.242 0.758 -2 0 2
1 2 exp1 0.214 0.786 -3 0 3
1 2 exp1 0.303 0.697 -2 1 3
1 2 exp1 0.284 0.716 -4 0 4
1 4 exp1 0.519 0.480 -1 1 2
1 4 exp1 0.475 0.525 -2 0 2
1 4 exp1 0.473 0.527 1 2 1
1 4 exp1 0.485 0.515 -1 3 4
1 4 exp1 0.485 0.514 -1 3 4
