# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.422 0.578 7 9 2
1 6 exp1 0.432 0.568 -2 0 2
1 6 exp1 0.457 0.543 -1 2 3
1 6 exp1 0.459 0.541 5 5 0
1 6 exp1 0.443 0.557 2 3 1
1 3 exp1 0.475 0.524 -1 2 3
1 3 exp1 0.354 0.645 -3 0 3
1 3 exp1 0.372 0.628 -2 1 3
1 3 exp1 0.425 0.575 -1 1 2
1 3 exp1 0.334 0.666 -2 0 2
1 2 exp1 0.181 0.817 -3 0 3
1 2 exp1 0.345 0.655 -2 0 2
1 2 exp1 0.194 0.806 -4 0 4
1 2 exp1 0.228 0.772 -6 0 6
1 2 exp1 0.223 0.777 -2 0 2
1 4 exp1 0.459 0.540 -4 0 4
1 4 exp1 0.519 0.481 0 1 1
1 4 exp1 0.553 0.447 -3 0 3
1 4 exp1 0.437 0.563 -1 2 3
1 4 exp1 0.445 0.555 -1 1 2
