# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.454 0.545 -1 0 1
1 6 exp1 0.508 0.492 1 3 2
1 6 exp1 0.490 0.509 1 2 1
1 6 exp1 0.516 0.484 4 5 1
1 6 exp1 0.464 0.535 2 3 1
1 3 exp1 0.469 0.529 -2 1 3
1 3 exp1 0.374 0.626 -4 0 4
1 3 exp1 0.347 0.653 -2 0 2
1 3 exp1 0.389 0.611 -4 0 4
1 3 exp1 0.425 0.575 -2 0 2
1 2 exp1 0.184 0.814 -6 0 6
1 2 exp1 0.185 0.814 -2 0 2
1 2 exp1 0.366 0.634 -2 0 2
1 2 exp1 0.220 0.780 -4 0 4
1 2 exp1 0.216 0.784 -5 0 5
1 4 exp1 0.401 0.598 1 1 0
1 4 exp1 0.461 0.539 -1 2 3
1 4 exp1 0.404 0.596 -1 1 2
1 4 exp1 0.504 0.495 1 2 1
1 4 exp1 0.515 0.485 -2 0 2
