OurTeam,OppTeam,Type,OurPos,OppPos,GoalDiff,OurGoals,OppGoals 
jemv,we,exp5,0.500,0.499,-9,0,9
jemv,we,exp5,0.444,0.556,-7,0,7
jemv,we,exp5,0.473,0.527,-6,1,7
jemv,we,exp5,0.433,0.567,-8,1,9
jemv,we,exp5,0.490,0.510,-4,1,5
jemv,we,exp5,0.487,0.513,-10,0,10
jemv,we,exp5,0.479,0.520,-6,1,7
jemv,we,exp5,0.539,0.460,-6,0,6
jemv,we,exp5,0.384,0.616,-13,0,13
jemv,we,exp5,0.534,0.466,-6,0,6
jemv,we,exp5,0.467,0.532,-6,0,6
jemv,we,exp5,0.544,0.456,-5,1,6
jemv,we,exp5,0.500,0.500,-8,0,8
jemv,we,exp5,0.405,0.595,-10,0,10
jemv,we,exp5,0.496,0.504,-4,1,5
jemv,we,exp5,0.428,0.572,-2,1,3
jemv,we,exp5,0.483,0.517,-4,0,4
jemv,we,exp5,0.462,0.538,-8,2,10
jemv,we,exp5,0.503,0.497,-6,1,7
jemv,we,exp5,0.425,0.575,-7,1,8
jemv,we,exp5,0.506,0.493,-5,1,6
jemv,we,exp5,0.485,0.515,-5,2,7
jemv,we,exp5,0.469,0.531,-6,2,8
jemv,we,exp5,0.515,0.485,-7,0,7
jemv,we,exp5,0.488,0.512,-5,0,5
jemv,we,exp5,0.529,0.470,-6,0,6
jemv,we,exp5,0.494,0.506,-7,0,7
jemv,we,exp5,0.453,0.547,-13,1,14
jemv,we,exp5,0.506,0.493,-3,0,3
jemv,we,exp5,0.424,0.575,-10,1,11
jemv,we,exp5,0.457,0.543,-7,1,8
jemv,we,exp5,0.403,0.597,-7,2,9
jemv,we,exp5,0.478,0.522,-11,0,11
jemv,we,exp5,0.515,0.485,-3,0,3
jemv,we,exp5,0.481,0.519,-3,0,3
jemv,we,exp5,0.532,0.468,-7,2,9
jemv,we,exp5,0.465,0.534,-8,0,8
jemv,we,exp5,0.512,0.488,-8,0,8
jemv,we,exp5,0.571,0.429,-3,1,4
jemv,we,exp5,0.521,0.479,-2,2,4
jemv,we,exp5,0.482,0.518,-10,0,10
jemv,we,exp5,0.475,0.525,-5,1,6
jemv,we,exp5,0.483,0.517,-11,0,11
jemv,we,exp5,0.507,0.493,-2,3,5
jemv,we,exp5,0.493,0.507,-7,1,8
jemv,we,exp5,0.529,0.471,-2,1,3
jemv,we,exp5,0.480,0.520,-5,1,6
jemv,we,exp5,0.532,0.468,-3,1,4
jemv,we,exp5,0.440,0.560,-11,0,11
jemv,we,exp5,0.456,0.544,-10,0,10
