# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.378 0.620 -2 2 4
1 6 exp1 0.490 0.510 -1 2 3
1 6 exp1 0.436 0.563 -3 1 4
1 6 exp1 0.472 0.527 -1 1 2
1 6 exp1 0.423 0.577 -1 1 2
1 3 exp1 0.315 0.681 -2 1 3
1 3 exp1 0.409 0.591 -3 0 3
1 3 exp1 0.401 0.599 -4 0 4
1 3 exp1 0.389 0.611 -5 1 6
1 3 exp1 0.366 0.634 -4 0 4
1 2 exp1 0.264 0.733 -5 0 5
1 2 exp1 0.278 0.721 -5 0 5
1 2 exp1 0.384 0.616 -5 0 5
1 2 exp1 0.306 0.694 -6 0 6
1 2 exp1 0.354 0.646 -4 0 4
1 4 exp1 0.478 0.518 -1 0 1
1 4 exp1 0.389 0.611 -1 0 1
1 4 exp1 0.458 0.542 -1 0 1
1 4 exp1 0.442 0.558 -3 1 4
1 4 exp1 0.431 0.569 -2 0 2
