# OurTeam OppTeam Type OurPos OppPos GoalDiff OurGoals OppGoals 
1 6 exp1 0.478 0.521 -4 0 4
1 6 exp1 0.494 0.506 -1 2 3
1 6 exp1 0.468 0.531 -4 0 4
1 6 exp1 0.461 0.539 1 1 0
1 6 exp1 0.500 0.500 2 2 0
1 3 exp1 0.422 0.576 -7 0 7
1 3 exp1 0.412 0.588 -5 1 6
1 3 exp1 0.494 0.506 -4 2 6
1 3 exp1 0.416 0.584 -10 1 11
1 3 exp1 0.480 0.520 -3 0 3
1 2 exp1 0.264 0.733 -6 0 6
1 2 exp1 0.368 0.631 -3 0 3
1 2 exp1 0.252 0.748 -7 0 7
1 2 exp1 0.348 0.652 -9 0 9
1 2 exp1 0.276 0.724 -7 0 7
1 4 exp1 0.494 0.506 -1 0 1
1 4 exp1 0.528 0.472 4 4 0
1 4 exp1 0.473 0.527 -1 1 2
1 4 exp1 0.448 0.551 1 1 0
1 4 exp1 0.500 0.500 -2 2 4
